Date,000001.SZ,000002.SZ,000008.SZ,000060.SZ,000063.SZ
2010-01-04,8.01,8.55,1.41,13.59,19.68
2010-01-05,7.87,8.36,1.41,14.24,20.05
2010-01-06,7.73,8.36,1.41,14.55,19.64
2010-01-07,7.65,8.3,1.41,14.24,18.73
2010-01-08,7.63,8.35,1.41,14.07,18.81
2010-01-11,7.63,8.22,1.41,14.09,18.86
2010-01-12,7.58,8.3,1.41,14.26,20.21
2010-01-13,7.08,8.1,1.41,12.98,21.07
2010-01-14,7.08,8.09,1.41,13.12,20.92
2010-01-15,7.24,8.18,1.41,13.11,20.51
2010-01-18,7.25,8.14,1.41,13.01,21.29
2010-01-19,7.51,8.12,1.41,13.33,20.59
2010-01-20,7.22,7.88,1.34,12.67,19.79
2010-01-21,7.66,7.91,1.27,12.49,19.79
2010-01-22,7.8,7.71,1.25,12.0,19.1
2010-01-25,7.49,7.68,1.19,12.0,19.09
2010-01-26,7.45,7.44,1.13,11.65,19.02
2010-01-27,7.4,7.5,1.1,11.35,18.82
2010-01-28,7.35,7.59,1.1,10.89,18.73
2010-01-29,7.33,7.54,1.11,10.88,18.83
2010-02-01,7.17,7.59,1.14,10.96,18.25
2010-02-02,7.22,7.49,1.14,11.04,17.91
2010-02-03,7.63,7.63,1.14,11.55,18.3
2010-02-04,7.5,7.59,1.14,11.22,18.64
2010-02-05,7.43,7.42,1.16,10.65,18.51
2010-02-08,7.28,7.36,1.16,10.76,18.64
2010-02-09,7.43,7.34,1.16,10.99,18.39
2010-02-10,7.53,7.43,1.17,11.09,18.84
2010-02-11,7.47,7.49,1.17,11.19,18.56
2010-02-12,7.58,7.56,1.19,11.37,18.43
2010-02-22,7.46,7.47,1.18,11.39,18.43
2010-02-23,7.28,7.37,1.18,11.09,19.05
2010-02-24,7.33,7.45,1.2,11.28,19.88
2010-02-25,7.48,7.65,1.23,11.47,19.93
2010-02-26,7.58,7.61,1.27,11.24,20.0
2010-03-01,7.58,7.62,1.3,11.57,19.94
2010-03-02,7.81,7.76,1.36,11.25,19.9
2010-03-03,7.87,7.73,1.37,11.37,20.0
2010-03-04,7.8,7.58,1.32,11.03,19.51
2010-03-05,7.86,7.55,1.35,11.26,19.53
2010-03-08,8.06,7.58,1.4,11.3,19.28
2010-03-09,8.05,7.76,1.42,11.37,19.13
2010-03-10,7.9,7.65,1.39,11.34,19.15
2010-03-11,7.99,7.67,1.38,11.17,19.25
